rule,wolfram_class,g_entropy_mean,g_entropy_std,g_corr_length_mean,g_temporal_acf_mean,g_compressibility_mean
189,0,0.9729364157219506,0.027633813021115398,1.78,1.0,0.4609900990099009
190,0,0.5895541165515857,0.047097785099667784,1.0,1.0,0.4089108910891089
191,0,0.9402634156643319,0.04858382232604752,1.98,1.0,0.43009900990099004
192,0,0.0,0.0,0.0,1.0,0.2376237623762376
193,4,0.8564443798346641,0.0023709062567835604,1.0,0.10401183088196347,0.4316831683168316
194,0,0.9674066969362812,0.024822827415495897,1.24,1.0,0.4504950495049504
195,3,0.0,0.0,0.0,1.0,0.2376237623762376
196,0,0.6981549596873567,0.03749773798027097,1.0,1.0,0.434059405940594
197,0,0.5203588405283464,0.08204629233150942,1.0,1.0,0.3843564356435643
198,0,0.7869834108790076,0.08340423687659514,1.38,0.83,0.45207920792079215
199,0,0.7769996829235802,0.08568720820464013,1.9,0.8334,0.4421782178217822
200,2,0.682407906940362,0.06277058806220592,1.0,1.0,0.4502970297029703
201,0,0.893550862790467,0.07598276442235719,1.64,0.8742,0.47623762376237616
202,0,0.49664910648687427,0.04690660164854865,1.0,1.0,0.3954455445544554
203,0,0.9926330232114412,0.009294805703590368,1.9,1.0,0.4532673267326733
204,2,0.0,0.0,0.0,1.0,0.2376237623762376
205,0,0.35846624259503174,0.14773924256783744,1.68,1.0,0.3348514851485148
206,0,0.5391053187896779,0.043015307720482544,1.0,1.0,0.40099009900990096
207,0,0.888149158219913,0.07125229578084649,1.8,1.0,0.4621782178217822
208,0,0.5655283741116568,0.09794373028411638,1.0,1.0,0.4122772277227723
209,0,0.9747413290037349,0.01867352734880915,1.0,1.0,0.4542574257425742
210,0,0.9867886268802673,0.012039671988464706,1.06,0.37171767005252393,0.5277227722772277
211,0,0.8818330356560226,0.026756358868167636,1.0,0.83,0.48257425742574256
212,0,0.3613023102548356,0.2527661913224104,1.98,1.0,0.319009900990099
213,0,0.27863443651363334,0.16617042181500274,1.26,1.0,0.31524752475247525
214,0,0.9891692546528595,0.007807408339673875,1.02,0.8299999999999997,0.44693069306930694
215,0,0.8356658938624548,0.04606553943983519,1.02,0.8334,0.4421782178217821
216,0,0.49831875529364417,0.03985506723396401,1.0,1.0,0.39405940594059397
217,0,0.9943726557704032,0.008485121386670498,1.88,1.0,0.450891089108911
218,0,0.589579567771152,0.10287560343956775,1.0,1.0,0.38178217821782184
219,0,0.5404340190856469,0.11972190244253272,2.04,1.0,0.3629702970297029
220,0,0.5304554198226201,0.05307308064279594,1.0,1.0,0.4021782178217822
221,0,0.8992803180160454,0.053646390978329024,1.72,1.0,0.46851485148514854
222,0,0.7479748326678461,0.06990737296164498,1.0,1.0,0.45445544554455447
223,1,0.8258375309063353,0.09507937863405443,2.16,1.0,0.4126732673267326
224,0,0.0,0.0,0.0,1.0,0.2376237623762376
225,0,0.9890391377378991,0.002657522979630797,1.08,0.07583535690998609,0.5164356435643565
226,0,0.35378174149455505,0.2046546788838139,1.04,1.0,0.33306930693069314
227,0,0.6182391534587951,0.1576280222064515,2.02,1.0,0.3728712871287128
228,0,0.5820446990204808,0.0848860777074682,1.0,1.0,0.4192079207920793
229,0,0.980640047003166,0.021651564628548343,1.08,0.8707999999999998,0.5035643564356436
230,0,0.912225580800897,0.026764183770365275,1.0,1.0,0.45504950495049507
231,0,0.9704021942715518,0.03167830695920223,1.68,1.0,0.46118811881188115
232,2,0.6875439202085966,0.09584808481521113,1.04,1.0,0.4435643564356435
233,0,0.32974483145696615,0.1146124896198983,1.0,1.0,0.3231683168316832
234,0,0.0,0.0,0.0,1.0,0.2376237623762376
235,0,0.0,0.0,0.0,1.0,0.2376237623762376
236,0,0.4035581932964445,0.10148133895251912,1.0,1.0,0.3617821782178218
237,0,0.744278322264254,0.13920405207350442,1.46,1.0,0.3655445544554455
